date,team,W/L,eFG%,TOV%,ORB%,FT/FGA,IsRegular,Season
2000-11-29,UTA,1,.493,18.3,27.3,.187,1,2000
2000-11-29,PHI,1,.447,16.5,25,.347,1,2000
2000-11-29,WAS,0,.464,20.3,30.4,.12,1,2000
2000-11-29,SAS,1,.422,14.3,28.6,.221,1,2000
2000-11-29,SAC,0,.362,15.2,42.9,.117,1,2000
2000-11-29,VAN,1,.42,14.8,22.9,.319,1,2000
2000-11-29,PHO,0,.458,15,24.1,.2,1,2000
2000-11-30,ATL,0,.417,16.5,29.3,.306,1,2000
2000-11-30,CHI,1,.466,16.6,33.3,.315,1,2000
2000-11-30,DEN,0,.441,13.2,36.2,.234,1,2000
2000-11-30,HOU,1,.494,10.2,24.4,.264,1,2000
2000-11-30,GSW,1,.507,15.1,26.7,.289,1,2000
2000-11-30,IND,0,.451,15.1,39.6,.143,1,2000
2000-11-30,MIL,1,.622,15,25,.141,1,2000
